# Angular correlation function for u-dropout galaxies
# with 23.0<r<24.5 from H09.  Angles are in arcmin.
#
# theta   w(theta) error
0.0166504 1.77871 2.84475     
0.0266406 25.231 6.24782     
0.0399609 7.48823 1.49441     
0.0599414 6.94748 1.86267     
0.0932422 2.30623 0.287948     
0.146523 0.585028 0.445645     
0.229775 0.301028 0.280393     
0.359648 0.312051 0.0957754     
0.562783 0.304378 0.0327729     
0.879141 0.158201 0.03625     
1.37466 0.125651 0.0387224     
2.14857 0.0973782 0.0218095     
3.35272 0.0590657 0.0249642     
5.24154 0.0284164 0.0152592     
8.19199 0.0221027 0.00851279     
12.7968 0.026066 0.00555296     
19.9938 0.00658873 0.0021656     
31.2361 -0.00719357 0.00631024     
48.8056 -0.00643644 0.00670269     
63.0584 -0.0382343 0.0166703     
